,gender,age,annual_income,spending_score,age_group,income_level,spending_behavior,25th_percentile,75th_percentile,buying_power,credit_risk,opportunity,cumulative_spending_score,percentage_of_total_spending_score
14,Male,37,20000,13,adult,middle-income,low-spender,47500.0,87000.0,Low Buying Power,High Risk,Low Opportunity,712,7.091633466135458
15,Male,22,20000,79,young_adult,middle-income,premium-spender,21750.0,62750.0,Low Buying Power,Very High Risk,Low Opportunity,791,7.878486055776893
16,Female,35,21000,35,adult,middle-income,moderate-spender,47500.0,87000.0,Low Buying Power,High Risk,Low Opportunity,826,8.227091633466136
17,Male,20,21000,66,young_adult,middle-income,high-spender,21750.0,62750.0,Low Buying Power,Very High Risk,Low Opportunity,892,8.884462151394422
18,Male,52,23000,29,middle_age,middle-income,moderate-spender,43000.0,77000.0,Low Buying Power,High Risk,Low Opportunity,921,9.173306772908367
19,Female,35,23000,98,adult,middle-income,premium-spender,47500.0,87000.0,Low Buying Power,Very High Risk,Low Opportunity,1019,10.149402390438247
20,Male,35,24000,35,adult,middle-income,moderate-spender,47500.0,87000.0,Low Buying Power,High Risk,Low Opportunity,1054,10.49800796812749
21,Male,25,24000,73,young_adult,middle-income,high-spender,21750.0,62750.0,Moderate Buying Power,Unknown,Unknown,1127,11.225099601593627
22,Female,46,25000,5,middle_age,middle-income,low-spender,43000.0,77000.0,Low Buying Power,High Risk,Low Opportunity,1132,11.274900398406375
23,Male,31,25000,73,adult,middle-income,high-spender,47500.0,87000.0,Low Buying Power,Very High Risk,Low Opportunity,1205,12.001992031872511
24,Female,54,28000,14,middle_age,middle-income,low-spender,43000.0,77000.0,Low Buying Power,High Risk,Low Opportunity,1219,12.141434262948207
25,Male,29,28000,82,adult,middle-income,premium-spender,47500.0,87000.0,Low Buying Power,Very High Risk,Low Opportunity,1301,12.958167330677291
26,Female,45,28000,32,middle_age,middle-income,moderate-spender,43000.0,77000.0,Low Buying Power,High Risk,Low Opportunity,1333,13.276892430278883
27,Male,35,28000,61,adult,middle-income,high-spender,47500.0,87000.0,Low Buying Power,Very High Risk,Low Opportunity,1394,13.884462151394422
28,Female,40,29000,31,adult,middle-income,moderate-spender,47500.0,87000.0,Low Buying Power,High Risk,Low Opportunity,1425,14.193227091633467
29,Female,23,29000,87,young_adult,middle-income,premium-spender,21750.0,62750.0,Moderate Buying Power,Unknown,Unknown,1512,15.0597609561753
30,Male,60,30000,4,middle_age,middle-income,low-spender,43000.0,77000.0,Low Buying Power,High Risk,Low Opportunity,1516,15.099601593625497
31,Female,21,30000,73,young_adult,middle-income,high-spender,21750.0,62750.0,Moderate Buying Power,Unknown,Unknown,1589,15.826693227091635
32,Male,53,33000,4,middle_age,middle-income,low-spender,43000.0,77000.0,Low Buying Power,High Risk,Low Opportunity,1593,15.866533864541832
33,Male,18,33000,92,teen,middle-income,premium-spender,44250.0,60500.0,Low Buying Power,Very High Risk,Low Opportunity,1685,16.782868525896415
34,Female,49,33000,14,middle_age,middle-income,low-spender,43000.0,77000.0,Low Buying Power,High Risk,Low Opportunity,1699,16.922310756972113
35,Female,21,33000,81,young_adult,middle-income,premium-spender,21750.0,62750.0,Moderate Buying Power,Unknown,Unknown,1780,17.729083665338646
36,Female,42,34000,17,middle_age,middle-income,low-spender,43000.0,77000.0,Low Buying Power,High Risk,Low Opportunity,1797,17.89840637450199
37,Female,30,34000,73,adult,middle-income,high-spender,47500.0,87000.0,Low Buying Power,Very High Risk,Low Opportunity,1870,18.625498007968126
38,Female,36,37000,26,adult,middle-income,moderate-spender,47500.0,87000.0,Low Buying Power,High Risk,Low Opportunity,1896,18.88446215139442
39,Female,20,37000,75,young_adult,middle-income,high-spender,21750.0,62750.0,Moderate Buying Power,Unknown,Unknown,1971,19.63147410358566
40,Female,65,38000,35,seniors,middle-income,moderate-spender,46000.0,63000.0,Low Buying Power,High Risk,Low Opportunity,2006,19.9800796812749
41,Male,24,38000,92,young_adult,middle-income,premium-spender,21750.0,62750.0,Moderate Buying Power,Unknown,Unknown,2098,20.896414342629484
42,Male,48,39000,36,middle_age,middle-income,moderate-spender,43000.0,77000.0,Low Buying Power,High Risk,Low Opportunity,2134,21.254980079681275
43,Female,31,39000,61,adult,middle-income,high-spender,47500.0,87000.0,Low Buying Power,Very High Risk,Low Opportunity,2195,21.862549800796813
44,Female,49,39000,28,middle_age,middle-income,moderate-spender,43000.0,77000.0,Low Buying Power,High Risk,Low Opportunity,2223,22.141434262948206
45,Female,24,39000,65,young_adult,middle-income,high-spender,21750.0,62750.0,Moderate Buying Power,Unknown,Unknown,2288,22.78884462151394
46,Female,50,40000,55,middle_age,middle-income,high-spender,43000.0,77000.0,Low Buying Power,Very High Risk,Low Opportunity,2343,23.336653386454184
47,Female,27,40000,47,adult,middle-income,moderate-spender,47500.0,87000.0,Low Buying Power,High Risk,Low Opportunity,2390,23.804780876494025
48,Female,29,40000,42,adult,middle-income,moderate-spender,47500.0,87000.0,Low Buying Power,High Risk,Low Opportunity,2432,24.223107569721115
49,Female,31,40000,42,adult,middle-income,moderate-spender,47500.0,87000.0,Low Buying Power,High Risk,Low Opportunity,2474,24.641434262948206
50,Female,49,42000,52,middle_age,high-income,high-spender,43000.0,77000.0,Low Buying Power,Very High Risk,Low Opportunity,2526,25.159362549800797
51,Male,33,42000,60,adult,high-income,high-spender,47500.0,87000.0,Low Buying Power,Very High Risk,Low Opportunity,2586,25.756972111553782
52,Female,31,43000,54,adult,high-income,high-spender,47500.0,87000.0,Low Buying Power,Very High Risk,Low Opportunity,2640,26.294820717131472
53,Male,59,43000,60,middle_age,high-income,high-spender,43000.0,77000.0,Low Buying Power,Very High Risk,Low Opportunity,2700,26.89243027888446
54,Female,50,43000,45,middle_age,high-income,moderate-spender,43000.0,77000.0,Low Buying Power,High Risk,Low Opportunity,2745,27.3406374501992
55,Male,47,43000,41,middle_age,high-income,moderate-spender,43000.0,77000.0,Low Buying Power,High Risk,Low Opportunity,2786,27.749003984063748
56,Female,51,44000,50,middle_age,high-income,moderate-spender,43000.0,77000.0,Moderate Buying Power,Moderate Risk,Unknown,2836,28.247011952191237
57,Male,69,44000,46,seniors,high-income,moderate-spender,46000.0,63000.0,Low Buying Power,High Risk,Low Opportunity,2882,28.705179282868524
58,Female,27,46000,51,adult,high-income,high-spender,47500.0,87000.0,Low Buying Power,Very High Risk,Low Opportunity,2933,29.213147410358566
59,Male,53,46000,46,middle_age,high-income,moderate-spender,43000.0,77000.0,Moderate Buying Power,Moderate Risk,Unknown,2979,29.671314741035857
60,Male,70,46000,56,seniors,high-income,high-spender,46000.0,63000.0,Low Buying Power,Very High Risk,Low Opportunity,3035,30.229083665338646
61,Male,19,46000,55,young_adult,high-income,high-spender,21750.0,62750.0,Moderate Buying Power,Unknown,Unknown,3090,30.776892430278885
62,Female,67,47000,52,seniors,high-income,high-spender,46000.0,63000.0,Moderate Buying Power,Unknown,Unknown,3142,31.294820717131472
63,Female,54,47000,59,middle_age,high-income,high-spender,43000.0,77000.0,Moderate Buying Power,Unknown,Unknown,3201,31.882470119521912
64,Male,63,48000,51,seniors,high-income,high-spender,46000.0,63000.0,Moderate Buying Power,Unknown,Unknown,3252,32.39043824701196
65,Male,18,48000,59,teen,high-income,high-spender,44250.0,60500.0,Moderate Buying Power,Unknown,Unknown,3311,32.97808764940239
66,Female,43,48000,50,middle_age,high-income,moderate-spender,43000.0,77000.0,Moderate Buying Power,Moderate Risk,Unknown,3361,33.476095617529886
67,Female,68,48000,48,seniors,high-income,moderate-spender,46000.0,63000.0,Moderate Buying Power,Moderate Risk,Unknown,3409,33.95418326693227
68,Male,19,48000,59,young_adult,high-income,high-spender,21750.0,62750.0,Moderate Buying Power,Unknown,Unknown,3468,34.54183266932271
69,Female,32,48000,47,adult,high-income,moderate-spender,47500.0,87000.0,Moderate Buying Power,Moderate Risk,Unknown,3515,35.00996015936255
70,Male,70,49000,55,seniors,high-income,high-spender,46000.0,63000.0,Moderate Buying Power,Unknown,Unknown,3570,35.55776892430279
71,Female,47,49000,42,middle_age,high-income,moderate-spender,43000.0,77000.0,Moderate Buying Power,Moderate Risk,Unknown,3612,35.97609561752988
72,Female,60,50000,49,middle_age,high-income,moderate-spender,43000.0,77000.0,Moderate Buying Power,Moderate Risk,Unknown,3661,36.46414342629482
73,Female,60,50000,56,middle_age,high-income,high-spender,43000.0,77000.0,Moderate Buying Power,Unknown,Unknown,3717,37.02191235059761
74,Male,59,54000,47,middle_age,high-income,moderate-spender,43000.0,77000.0,Moderate Buying Power,Moderate Risk,Unknown,3764,37.49003984063745
75,Male,26,54000,54,adult,high-income,high-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,3818,38.027888446215144
76,Female,45,54000,53,middle_age,high-income,high-spender,43000.0,77000.0,Moderate Buying Power,Unknown,Unknown,3871,38.55577689243027
77,Male,40,54000,48,adult,high-income,moderate-spender,47500.0,87000.0,Moderate Buying Power,Moderate Risk,Unknown,3919,39.03386454183267
78,Female,23,54000,52,young_adult,high-income,high-spender,21750.0,62750.0,Moderate Buying Power,Unknown,Unknown,3971,39.551792828685265
79,Female,49,54000,42,middle_age,high-income,moderate-spender,43000.0,77000.0,Moderate Buying Power,Moderate Risk,Unknown,4013,39.97011952191235
80,Male,57,54000,51,middle_age,high-income,high-spender,43000.0,77000.0,Moderate Buying Power,Unknown,Unknown,4064,40.47808764940239
81,Male,38,54000,55,adult,high-income,high-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,4119,41.025896414342625
82,Male,67,54000,41,seniors,high-income,moderate-spender,46000.0,63000.0,Moderate Buying Power,Moderate Risk,Unknown,4160,41.43426294820717
83,Female,46,54000,44,middle_age,high-income,moderate-spender,43000.0,77000.0,Moderate Buying Power,Moderate Risk,Unknown,4204,41.87250996015936
84,Female,21,54000,57,young_adult,high-income,high-spender,21750.0,62750.0,Moderate Buying Power,Unknown,Unknown,4261,42.440239043824704
85,Male,48,54000,46,middle_age,high-income,moderate-spender,43000.0,77000.0,Moderate Buying Power,Moderate Risk,Unknown,4307,42.89840637450199
86,Female,55,57000,58,middle_age,high-income,high-spender,43000.0,77000.0,Moderate Buying Power,Unknown,Unknown,4365,43.47609561752988
87,Female,22,57000,55,young_adult,high-income,high-spender,21750.0,62750.0,Moderate Buying Power,Unknown,Unknown,4420,44.02390438247012
88,Female,34,58000,60,adult,high-income,high-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,4480,44.6215139442231
89,Female,50,58000,46,middle_age,high-income,moderate-spender,43000.0,77000.0,Moderate Buying Power,Moderate Risk,Unknown,4526,45.079681274900395
90,Female,68,59000,55,seniors,high-income,high-spender,46000.0,63000.0,Moderate Buying Power,Unknown,Unknown,4581,45.62749003984064
91,Male,18,59000,41,teen,high-income,moderate-spender,44250.0,60500.0,Moderate Buying Power,Moderate Risk,Unknown,4622,46.03585657370518
92,Male,48,60000,49,middle_age,high-income,moderate-spender,43000.0,77000.0,Moderate Buying Power,Moderate Risk,Unknown,4671,46.52390438247012
93,Female,40,60000,40,adult,high-income,moderate-spender,47500.0,87000.0,Moderate Buying Power,Moderate Risk,Unknown,4711,46.92231075697212
94,Female,32,60000,42,adult,high-income,moderate-spender,47500.0,87000.0,Moderate Buying Power,Moderate Risk,Unknown,4753,47.3406374501992
95,Male,24,60000,52,young_adult,high-income,high-spender,21750.0,62750.0,Moderate Buying Power,Unknown,Unknown,4805,47.8585657370518
96,Female,47,60000,47,middle_age,high-income,moderate-spender,43000.0,77000.0,Moderate Buying Power,Moderate Risk,Unknown,4852,48.32669322709163
97,Female,27,60000,50,adult,high-income,moderate-spender,47500.0,87000.0,Moderate Buying Power,Moderate Risk,Unknown,4902,48.82470119521912
98,Male,48,61000,42,middle_age,high-income,moderate-spender,43000.0,77000.0,Moderate Buying Power,Moderate Risk,Unknown,4944,49.243027888446214
99,Male,20,61000,49,young_adult,high-income,moderate-spender,21750.0,62750.0,Moderate Buying Power,Moderate Risk,Unknown,4993,49.73107569721116
100,Female,23,62000,41,young_adult,high-income,moderate-spender,21750.0,62750.0,Moderate Buying Power,Moderate Risk,Unknown,5034,50.13944223107569
101,Female,49,62000,48,middle_age,high-income,moderate-spender,43000.0,77000.0,Moderate Buying Power,Moderate Risk,Unknown,5082,50.61752988047809
102,Male,67,62000,59,seniors,high-income,high-spender,46000.0,63000.0,Moderate Buying Power,Unknown,Unknown,5141,51.20517928286853
103,Male,26,62000,55,adult,high-income,high-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,5196,51.75298804780877
104,Male,49,62000,56,middle_age,high-income,high-spender,43000.0,77000.0,Moderate Buying Power,Unknown,Unknown,5252,52.31075697211155
105,Female,21,62000,42,young_adult,high-income,moderate-spender,21750.0,62750.0,Moderate Buying Power,Moderate Risk,Unknown,5294,52.72908366533865
106,Female,66,63000,50,seniors,high-income,moderate-spender,46000.0,63000.0,Moderate Buying Power,Moderate Risk,Unknown,5344,53.22709163346614
107,Male,54,63000,46,middle_age,high-income,moderate-spender,43000.0,77000.0,Moderate Buying Power,Moderate Risk,Unknown,5390,53.68525896414342
108,Male,68,63000,43,seniors,high-income,moderate-spender,46000.0,63000.0,Moderate Buying Power,Moderate Risk,Unknown,5433,54.113545816733065
109,Male,66,63000,48,seniors,high-income,moderate-spender,46000.0,63000.0,Moderate Buying Power,Moderate Risk,Unknown,5481,54.591633466135455
110,Male,65,63000,52,seniors,high-income,high-spender,46000.0,63000.0,Moderate Buying Power,Unknown,Unknown,5533,55.10956175298804
111,Female,19,63000,54,young_adult,high-income,high-spender,21750.0,62750.0,High Buying Power,Low Risk,Very High Opportunity,5587,55.64741035856574
112,Female,38,64000,42,adult,high-income,moderate-spender,47500.0,87000.0,Moderate Buying Power,Moderate Risk,Unknown,5629,56.06573705179283
113,Male,19,64000,46,young_adult,high-income,moderate-spender,21750.0,62750.0,High Buying Power,Unknown,High Opportunity,5675,56.52390438247012
114,Female,18,65000,48,teen,high-income,moderate-spender,44250.0,60500.0,High Buying Power,Unknown,High Opportunity,5723,57.001992031872504
115,Female,19,65000,50,young_adult,high-income,moderate-spender,21750.0,62750.0,High Buying Power,Unknown,High Opportunity,5773,57.49999999999999
116,Female,63,65000,43,seniors,high-income,moderate-spender,46000.0,63000.0,High Buying Power,Unknown,High Opportunity,5816,57.928286852589636
117,Female,49,65000,59,middle_age,high-income,high-spender,43000.0,77000.0,Moderate Buying Power,Unknown,Unknown,5875,58.51593625498008
118,Female,51,67000,43,middle_age,high-income,moderate-spender,43000.0,77000.0,Moderate Buying Power,Moderate Risk,Unknown,5918,58.94422310756973
119,Female,50,67000,57,middle_age,high-income,high-spender,43000.0,77000.0,Moderate Buying Power,Unknown,Unknown,5975,59.51195219123506
120,Male,27,67000,56,adult,high-income,high-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,6031,60.069721115537845
121,Female,38,67000,40,adult,high-income,moderate-spender,47500.0,87000.0,Moderate Buying Power,Moderate Risk,Unknown,6071,60.468127490039834
122,Female,40,69000,58,adult,high-income,high-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,6129,61.045816733067724
123,Male,39,69000,91,adult,high-income,premium-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,6220,61.952191235059765
124,Female,23,70000,29,young_adult,high-income,moderate-spender,21750.0,62750.0,High Buying Power,Unknown,High Opportunity,6249,62.2410358565737
125,Female,31,70000,77,adult,high-income,premium-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,6326,63.007968127490045
126,Male,43,71000,35,middle_age,high-income,moderate-spender,43000.0,77000.0,Moderate Buying Power,Moderate Risk,Unknown,6361,63.35657370517929
127,Male,40,71000,95,adult,high-income,premium-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,6456,64.30278884462152
128,Male,59,71000,11,middle_age,high-income,low-spender,43000.0,77000.0,Moderate Buying Power,Unknown,Moderate Opportunity,6467,64.41235059760956
129,Male,38,71000,75,adult,high-income,high-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,6542,65.15936254980079
130,Male,47,71000,9,middle_age,high-income,low-spender,43000.0,77000.0,Moderate Buying Power,Unknown,Moderate Opportunity,6551,65.24900398406375
131,Male,39,71000,75,adult,high-income,high-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,6626,65.99601593625498
132,Female,25,72000,34,young_adult,high-income,moderate-spender,21750.0,62750.0,High Buying Power,Unknown,High Opportunity,6660,66.33466135458167
133,Female,31,72000,71,adult,high-income,high-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,6731,67.04183266932272
134,Male,20,73000,5,young_adult,high-income,low-spender,21750.0,62750.0,High Buying Power,Unknown,High Opportunity,6736,67.09163346613546
135,Female,29,73000,88,adult,high-income,premium-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,6824,67.96812749003985
136,Female,44,73000,7,middle_age,high-income,low-spender,43000.0,77000.0,Moderate Buying Power,Unknown,Moderate Opportunity,6831,68.0378486055777
137,Male,32,73000,73,adult,high-income,high-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,6904,68.76494023904382
138,Male,19,74000,10,young_adult,high-income,low-spender,21750.0,62750.0,High Buying Power,Unknown,High Opportunity,6914,68.86454183266932
139,Female,35,74000,72,adult,high-income,high-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,6986,69.58167330677291
140,Female,57,75000,5,middle_age,high-income,low-spender,43000.0,77000.0,Moderate Buying Power,Unknown,Moderate Opportunity,6991,69.63147410358566
141,Male,32,75000,93,adult,high-income,premium-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,7084,70.55776892430279
142,Female,28,76000,40,adult,high-income,moderate-spender,47500.0,87000.0,Moderate Buying Power,Moderate Risk,Unknown,7124,70.95617529880478
143,Female,32,76000,87,adult,high-income,premium-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,7211,71.82270916334662
144,Male,25,77000,12,young_adult,high-income,low-spender,21750.0,62750.0,High Buying Power,Unknown,High Opportunity,7223,71.94223107569722
145,Male,28,77000,97,adult,high-income,premium-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,7320,72.90836653386454
146,Male,48,77000,36,middle_age,high-income,moderate-spender,43000.0,77000.0,Moderate Buying Power,Moderate Risk,Unknown,7356,73.26693227091633
147,Female,32,77000,74,adult,high-income,high-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,7430,74.00398406374502
148,Female,34,78000,22,adult,high-income,low-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Moderate Opportunity,7452,74.22310756972111
149,Male,34,78000,90,adult,high-income,premium-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,7542,75.11952191235059
150,Male,43,78000,17,middle_age,high-income,low-spender,43000.0,77000.0,High Buying Power,Unknown,High Opportunity,7559,75.28884462151395
151,Male,39,78000,88,adult,high-income,premium-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,7647,76.16533864541833
152,Female,44,78000,20,middle_age,high-income,low-spender,43000.0,77000.0,High Buying Power,Unknown,High Opportunity,7667,76.36454183266932
153,Female,38,78000,76,adult,high-income,premium-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,7743,77.12151394422311
154,Female,47,78000,16,middle_age,high-income,low-spender,43000.0,77000.0,High Buying Power,Unknown,High Opportunity,7759,77.28087649402391
155,Female,27,78000,89,adult,high-income,premium-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,7848,78.16733067729083
156,Male,37,78000,1,adult,high-income,low-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Moderate Opportunity,7849,78.17729083665338
157,Female,30,78000,78,adult,high-income,premium-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,7927,78.95418326693228
158,Male,34,78000,1,adult,high-income,low-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Moderate Opportunity,7928,78.96414342629483
159,Female,30,78000,73,adult,high-income,high-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,8001,79.69123505976096
160,Female,56,79000,35,middle_age,affluent,moderate-spender,43000.0,77000.0,High Buying Power,Unknown,High Opportunity,8036,80.0398406374502
161,Female,29,79000,83,adult,affluent,premium-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,8119,80.86653386454184
162,Male,19,81000,5,young_adult,affluent,low-spender,21750.0,62750.0,High Buying Power,Unknown,High Opportunity,8124,80.91633466135458
163,Female,31,81000,93,adult,affluent,premium-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,8217,81.84262948207171
164,Male,50,85000,26,middle_age,affluent,moderate-spender,43000.0,77000.0,High Buying Power,Unknown,High Opportunity,8243,82.101593625498
165,Female,36,85000,75,adult,affluent,high-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,8318,82.84860557768924
166,Male,42,86000,20,middle_age,affluent,low-spender,43000.0,77000.0,High Buying Power,Unknown,High Opportunity,8338,83.04780876494023
167,Female,33,86000,95,adult,affluent,premium-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,8433,83.99402390438247
168,Female,36,87000,27,adult,affluent,moderate-spender,47500.0,87000.0,Moderate Buying Power,Moderate Risk,Unknown,8460,84.26294820717132
169,Male,32,87000,63,adult,affluent,high-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,8523,84.89043824701196
170,Male,40,87000,13,adult,affluent,low-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Moderate Opportunity,8536,85.0199203187251
171,Male,28,87000,75,adult,affluent,high-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,8611,85.76693227091633
172,Male,36,87000,10,adult,affluent,low-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Moderate Opportunity,8621,85.86653386454182
173,Male,36,87000,92,adult,affluent,premium-spender,47500.0,87000.0,Moderate Buying Power,Unknown,Unknown,8713,86.78286852589642
174,Female,52,88000,13,middle_age,affluent,low-spender,43000.0,77000.0,High Buying Power,Unknown,High Opportunity,8726,86.91235059760956
175,Female,30,88000,86,adult,affluent,premium-spender,47500.0,87000.0,High Buying Power,Low Risk,Very High Opportunity,8812,87.76892430278885
176,Male,58,88000,15,middle_age,affluent,low-spender,43000.0,77000.0,High Buying Power,Unknown,High Opportunity,8827,87.91832669322709
177,Male,27,88000,69,adult,affluent,high-spender,47500.0,87000.0,High Buying Power,Low Risk,Very High Opportunity,8896,88.60557768924303
178,Male,59,93000,14,middle_age,affluent,low-spender,43000.0,77000.0,High Buying Power,Unknown,High Opportunity,8910,88.74501992031873
179,Male,35,93000,90,adult,affluent,premium-spender,47500.0,87000.0,High Buying Power,Low Risk,Very High Opportunity,9000,89.64143426294821
180,Female,37,97000,32,adult,affluent,moderate-spender,47500.0,87000.0,High Buying Power,Unknown,High Opportunity,9032,89.9601593625498
181,Female,32,97000,86,adult,affluent,premium-spender,47500.0,87000.0,High Buying Power,Low Risk,Very High Opportunity,9118,90.81673306772909
182,Male,46,98000,15,middle_age,affluent,low-spender,43000.0,77000.0,High Buying Power,Unknown,High Opportunity,9133,90.96613545816733
183,Female,29,98000,88,adult,affluent,premium-spender,47500.0,87000.0,High Buying Power,Low Risk,Very High Opportunity,9221,91.84262948207171
184,Female,41,99000,39,middle_age,affluent,moderate-spender,43000.0,77000.0,High Buying Power,Unknown,High Opportunity,9260,92.23107569721115
185,Male,30,99000,97,adult,affluent,premium-spender,47500.0,87000.0,High Buying Power,Low Risk,Very High Opportunity,9357,93.19721115537848
186,Female,54,101000,24,middle_age,affluent,low-spender,43000.0,77000.0,High Buying Power,Unknown,High Opportunity,9381,93.43625498007968
187,Male,28,101000,68,adult,affluent,high-spender,47500.0,87000.0,High Buying Power,Low Risk,Very High Opportunity,9449,94.11354581673307
188,Female,41,103000,17,middle_age,affluent,low-spender,43000.0,77000.0,High Buying Power,Unknown,High Opportunity,9466,94.28286852589642
189,Female,36,103000,85,adult,affluent,premium-spender,47500.0,87000.0,High Buying Power,Low Risk,Very High Opportunity,9551,95.12948207171314
190,Female,34,103000,23,adult,affluent,low-spender,47500.0,87000.0,High Buying Power,Unknown,High Opportunity,9574,95.35856573705179
191,Female,32,103000,69,adult,affluent,high-spender,47500.0,87000.0,High Buying Power,Low Risk,Very High Opportunity,9643,96.04581673306772
192,Male,33,113000,8,adult,,low-spender,47500.0,87000.0,High Buying Power,Unknown,High Opportunity,9651,96.12549800796812
193,Female,38,113000,91,adult,,premium-spender,47500.0,87000.0,High Buying Power,Low Risk,Very High Opportunity,9742,97.03187250996017
194,Female,47,120000,16,middle_age,,low-spender,43000.0,77000.0,High Buying Power,Unknown,High Opportunity,9758,97.19123505976096
195,Female,35,120000,79,adult,,premium-spender,47500.0,87000.0,High Buying Power,Low Risk,Very High Opportunity,9837,97.9780876494024
196,Female,45,126000,28,middle_age,,moderate-spender,43000.0,77000.0,High Buying Power,Unknown,High Opportunity,9865,98.2569721115538
197,Male,32,126000,74,adult,,high-spender,47500.0,87000.0,High Buying Power,Low Risk,Very High Opportunity,9939,98.99402390438247
198,Male,32,137000,18,adult,,low-spender,47500.0,87000.0,High Buying Power,Unknown,High Opportunity,9957,99.17330677290836
199,Male,30,137000,83,adult,,premium-spender,47500.0,87000.0,High Buying Power,Low Risk,Very High Opportunity,10040,100.0
