gender,age,annual_income,spending_score,PCA1,PCA2,age_group,income_level
Female,25,72000,34,11439.999932803912,-12.708126157899208,young_adult,high-income
Female,31,72000,71,11440.000253490987,21.92175723491937,adult,high-income
Male,20,73000,5,12439.999683345799,-39.79311728115925,young_adult,high-income
Female,29,73000,88,12440.00043213043,38.915256712904124,adult,high-income
Female,44,73000,7,12439.999544563863,-43.36369789555714,middle_age,high-income
Male,32,73000,73,12440.000266300922,23.627329743422877,adult,high-income
Male,19,74000,10,13439.99973855316,-34.7081331808991,young_adult,high-income
Female,35,74000,72,13440.0002367134,21.95349066016975,adult,high-income
Female,57,75000,5,14439.99943923112,-48.32050705136536,middle_age,high-income
Male,32,75000,93,14440.000460892814,43.069745834472414,adult,high-income
Female,28,76000,40,15439.999971164536,-7.602400188622276,adult,high-income
Female,32,76000,87,15440.000402404621,37.2194345171838,adult,high-income
Male,25,77000,12,16439.999718255014,-34.173923062935614,young_adult,high-income
Male,28,77000,97,16440.0005260764,47.860145985166824,adult,high-income
Male,48,77000,36,16439.99980027022,-16.103788697850526,middle_age,high-income
Female,32,77000,74,16440.000275760875,24.556583478664315,adult,high-income
Female,34,78000,22,17439.999756205347,-26.52159771794193,adult,high-income
Male,34,78000,90,17440.00041828795,39.657359574014976,adult,high-income
Male,43,78000,17,17439.999648177196,-33.456580219352205,middle_age,high-income
Male,39,78000,88,17440.00036584516,36.56154037559048,adult,high-income
Female,44,78000,20,17439.999670792764,-30.76679619443926,middle_age,high-income
Female,38,78000,76,17440.000255601,25.112776709095,adult,high-income
Female,47,78000,16,17439.999612064872,-35.3493036019863,middle_age,high-income
Female,27,78000,89,17440.000454709138,40.293270603141096,adult,high-income
Male,37,78000,1,17439.999531956797,-47.6488444484782,adult,high-income
Female,30,78000,78,17440.000327825677,28.898223474363192,adult,high-income
Male,34,78000,1,17439.99955173867,-46.959216881634504,adult,high-income
Female,30,78000,73,17440.000279143133,24.03212367348401,adult,high-income
Female,56,79000,35,18439.999737643782,-18.937998615410084,middle_age,affluent
Female,29,79000,83,18440.00038303304,33.98320757462335,adult,affluent
Male,19,81000,5,20439.99968938665,-39.65117387541348,young_adult,affluent
Female,31,81000,93,20440.000467071935,43.23367235268539,adult,affluent
Male,50,85000,26,24439.999689164106,-26.383672460706823,middle_age,affluent
Female,36,85000,75,24440.000258568427,24.522367566513097,adult,affluent
Male,42,86000,20,25439.999683427566,-30.394976933078922,middle_age,affluent
Female,33,86000,95,25440.000473011343,44.66540278063994,adult,affluent
Female,36,87000,27,26439.99979107773,-22.21417363439427,adult,affluent
Male,32,87000,63,26440.000167967883,13.741248354394116,adult,affluent
Male,40,87000,13,26439.999628390768,-36.758756499314245,adult,affluent
Male,28,87000,75,26440.000311181808,26.339391298962425,adult,affluent
Male,36,87000,10,26439.999625557088,-38.7589129573835,adult,affluent
Male,36,87000,92,26440.000423950813,41.04512377703513,adult,affluent
Female,52,88000,13,27439.99954919415,-39.52825832292263,middle_age,affluent
Female,30,88000,86,27440.000405026352,36.574067593433895,adult,affluent
Male,58,88000,15,27439.99952910343,-38.96107353625835,middle_age,affluent
Male,27,88000,69,27440.000259287583,20.71895583728837,adult,affluent
Male,59,93000,14,32439.99951242727,-40.219127133216745,middle_age,affluent
Male,35,93000,90,32440.000410656896,39.262610374896425,adult,affluent
Female,37,97000,32,36439.99983247492,-17.687865251465645,adult,affluent
Female,32,97000,86,36440.00039121618,36.01539187610237,adult,affluent
Male,46,98000,15,37439.99960753952,-36.31247883121956,middle_age,affluent
Female,29,98000,88,37440.00043040194,38.64046780706414,adult,affluent
Female,41,99000,39,38439.99987411637,-11.816812065160246,middle_age,affluent
Male,30,99000,97,38440.00051136741,47.15858003679851,adult,affluent
Female,54,101000,24,40439.99964220902,-29.425480703254344,middle_age,affluent
Male,28,101000,68,40440.00024205829,19.372969790461177,adult,affluent
Female,41,103000,17,42439.99965963661,-33.27161741396305,middle_age,affluent
Female,36,103000,85,42440.00035468901,34.05671915606668,adult,affluent
Female,34,103000,23,42439.99976421337,-25.823166663606074,adult,affluent
Female,32,103000,69,42440.0002252807,19.40470321571155,adult,affluent
Male,33,113000,8,52439.999624068296,-40.30150577296506,adult,
Female,38,113000,91,52440.00039922875,39.326371643556584,adult,
Female,47,120000,16,59439.99960916101,-35.81094896379747,middle_age,
Female,35,120000,79,59440.00030168853,28.26041879465504,adult,
Female,45,126000,28,65439.99973877218,-23.738507067859892,middle_age,
Male,32,126000,74,65440.00027237303,24.017997223217954,adult,
Male,32,137000,18,76439.999726368,-30.603227665198503,adult,
Male,30,137000,83,76440.00037242897,33.11582145746003,adult,
