spending_score,age_transformed_yj,annual_income_transformed_yj,gender_Male
74,4.411443878043676,2313.3905358491565,0.0
22,4.503903201357645,2332.896500953207,0.0
90,4.503903201357645,2332.896500953207,1.0
17,4.870198069311736,2332.896500953207,1.0
88,4.716333405418429,2332.896500953207,1.0
20,4.906751955751641,2332.896500953207,0.0
76,4.6757764100478605,2332.896500953207,0.0
16,5.012316278446465,2332.896500953207,0.0
89,4.1569271935267205,2332.896500953207,0.0
1,4.634302428421484,2332.896500953207,1.0
78,4.313963295066453,2332.896500953207,0.0
1,4.503903201357645,2332.896500953207,1.0
73,4.313963295066453,2332.896500953207,0.0
35,5.297703983767936,2352.315206172339,0.0
83,4.263149440393941,2352.315206172339,0.0
5,3.652140980125522,2390.8967437336596,1.0
93,4.363367653856321,2390.8967437336596,0.0
26,5.112277303588068,2467.0753313357204,1.0
75,4.591865758420844,2467.0753313357204,0.0
20,4.832912582191835,2485.922549190403,1.0
95,4.458266338372307,2485.922549190403,0.0
27,4.591865758420844,2504.693281540008,0.0
63,4.411443878043676,2504.693281540008,1.0
13,4.756015870062159,2504.693281540008,1.0
75,4.2108368220638885,2504.693281540008,1.0
10,4.591865758420844,2504.693281540008,1.0
92,4.591865758420844,2504.693281540008,1.0
13,5.176106472172109,2523.388712629727,0.0
86,4.313963295066453,2523.388712629727,0.0
15,5.355735594136202,2523.388712629727,1.0
69,4.1569271935267205,2523.388712629727,1.0
14,5.384110877560028,2615.775653403618,1.0
90,4.548417107439841,2615.775653403618,1.0
32,4.634302428421484,2688.43970284484,0.0
86,4.411443878043676,2688.43970284484,0.0
15,4.9777836372505915,2706.440856184685,1.0
88,4.263149440393941,2706.440856184685,0.0
39,4.794863316369042,2724.377886997488,0.0
97,4.313963295066453,2724.377886997488,1.0
24,5.23786919548355,2760.0630513244528,0.0
68,4.2108368220638885,2760.0630513244528,1.0
17,4.794863316369042,2795.5019357226274,0.0
85,4.591865758420844,2795.5019357226274,0.0
23,4.503903201357645,2795.5019357226274,0.0
69,4.411443878043676,2795.5019357226274,0.0
8,4.458266338372307,2969.2176474618614,1.0
91,4.6757764100478605,2969.2176474618614,0.0
16,5.012316278446465,3087.6277145932,0.0
79,4.548417107439841,3087.6277145932,0.0
28,4.942604385317843,3187.21079109207,0.0
74,4.411443878043676,3187.21079109207,1.0
18,4.411443878043676,3365.579123865247,1.0
83,4.313963295066453,3365.579123865247,1.0
